# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
tong ren 	同仁	c=1 d=9.71406e-42 t=82043
tong shi 	同事	c=9 d=1.11548e-21 t=82043
tong shi 	同时	c=7 d=0.245367 t=82043
tong tou 	通透	c=1 d=1.0587e-24 t=82043
tong tu 	通图	c=2 d=1 t=53270
tong tu 	通途	c=1 d=1 t=46498
tong xin 	通信	c=1 d=1.10951e-46 t=82043
tong xing 	通行	c=4 d=6.70258e-35 t=82043
tong xue 	同学	c=2 d=7.97947e-22 t=82043
tong yan wu ji 	童言无忌	c=1 d=1 t=56766
tong yang 	同样	c=1 d=1.4795e-20 t=82043
tong yi 	同意	c=17 d=7.69731e-10 t=82043
tong yi 	统一	c=41 d=0.895843 t=82043
tong yi an 	同意案	c=1 d=5.23469e-33 t=82043
tong yi ge 	同一个	c=3 d=1.29108e-35 t=82043
tong yi kuan 	同一款	c=1 d=6.52838e-43 t=82043
tong yi xing 	统一性	c=1 d=1 t=73384
tong yong 	通用	c=16 d=7.24891e-10 t=82043
tong yong tu 	通用图	c=1 d=1 t=46484
tong zhi 	通知	c=6 d=0.000626727 t=82043
tong zhi shu 	通知书	c=1 d=5.04331e-36 t=82043
tong zhou 	通州	c=5 d=2.93981 t=69222
tou 	头	c=26 d=0.288212 t=82043
tou 	投	c=5 d=1.12095e-12 t=82043
tou 	透	c=1 d=0.594521 t=82043
tou bao 	投保	c=1 d=1 t=47500
tou biao 	投标	c=18 d=0.414036 t=82043
tou fa 	头发	c=5 d=1.17531e-18 t=82043
tou le 	投了	c=1 d=1 t=65019
tou ming 	透明	c=6 d=1.99076 t=78913
tou ming zhuang 	投名状	c=1 d=7.41804e-46 t=82043
tou pi 	头皮	c=2 d=4.10433e-24 t=82043
tou ru 	投入	c=2 d=8.59655e-16 t=82043
tou song 	投送	c=1 d=1.80148e-13 t=82043
tou teng 	头疼	c=1 d=1 t=57715
tou tou 	偷偷	c=1 d=2.69481e-45 t=82043
tou xiang 	头像	c=1 d=1.07693e-19 t=82043
tou xiang 	投降	c=1 d=6.87523e-05 t=82043
tou ying 	投影	c=1 d=0.0450492 t=82043
tou ying mian 	投影面	c=2 d=1 t=75030
tou yun 	头晕	c=0 d=5.63855e-26 t=82043
tou zi 	投资	c=1 d=5.5087e-45 t=82043
tu 	凸	c=1 d=2.72329e-51 t=82043
tu 	图	c=566 d=3.91328 t=82043
tu 	土	c=49 d=2.02488e-06 t=82043
tu 	涂	c=4 d=2.51271e-16 t=82043
tu an 	图案	c=1 d=1 t=72780
tu bian 	突变	c=6 d=1.77002e-41 t=82043
tu biao 	图标	c=2 d=1.08942e-37 t=82043
tu cao 	吐槽	c=2 d=1.94176 t=80115
tu ce 	图册	c=1 d=9.36878e-28 t=82043
tu ceng 	图层	c=40 d=0.0940386 t=82043
tu ceng 	土层	c=5 d=1 t=74005
tu chu 	凸出	c=1 d=1 t=46397
tu chu 	突出	c=3 d=2.23973e-11 t=82043
tu chu lai 	吐出来	c=2 d=1.31342e-21 t=82043
tu di 	土地	c=1 d=1 t=72017
tu fang 	土方	c=1 d=1 t=73474
tu gong 	土工	c=1 d=3.64083e-26 t=82043
tu gong bu 	土工布	c=1 d=6.82909e-14 t=82043
tu hao 	图号	c=2 d=1 t=76497
tu ji 	图集	c=1 d=1 t=49629
tu jian 	土建	c=1 d=5.94501e-30 t=82043
tu jing 	途径	c=1 d=4.11215e-17 t=82043
tu kuan 	图宽	c=2 d=3.87321e-48 t=82043
tu kuang 	图框	c=14 d=0.199125 t=82043
tu kuang 	土矿	c=1 d=0.0958472 t=82043
tu li 	图例	c=1 d=1 t=67593
tu liao 	涂料	c=1 d=2.83732e-63 t=82043
tu mian 	图面	c=11 d=0.530937 t=82043
tu ming 	图名	c=2 d=2.31748e-35 t=82043
tu mu 	土木	c=8 d=2.04628e-12 t=82043
tu pian 	图片	c=19 d=1.55752e-07 t=82043
tu po 	突破	c=3 d=3.5692e-11 t=82043
tu qian 	图签	c=1 d=1.64548e-65 t=82043
tu ran 	突然	c=5 d=8.9542e-24 t=82043
tu ren 	土人	c=1 d=1 t=59936
tu shang 	图上	c=6 d=0.000194515 t=82043
tu shi 	图示	c=1 d=1 t=74284
tu shu 	图书	c=1 d=1 t=61214
tu shu guan 	图书馆	c=1 d=8.78067e-30 t=82043
tu te xing 	图特性	c=1 d=1.03703e-16 t=82043
tu xing 	图形	c=1 d=1 t=49916
tu ya li 	土压力	c=3 d=1 t=55357
tu yuan 	图元	c=1 d=5.3459e-45 t=82043
tu zhi 	图纸	c=88 d=0.336805 t=82043
tu zhi 	土质	c=1 d=2.43886e-18 t=82043
tu zhong 	途中	c=4 d=0.000198445 t=82043
tuan 	团	c=1 d=1 t=72779
tuan dui 	团队	c=1 d=1 t=67538
tuan huo 	团伙	c=1 d=1 t=67539
tuan jian 	团建	c=3 d=5.64861e-37 t=82043
tuan ti 	团体	c=1 d=1 t=46761
tui 	推	c=4 d=1.73591e-18 t=82043
tui 	腿	c=1 d=3.44834e-34 t=82043
tui 	退	c=2 d=4.79914e-11 t=82043
tui chu 	退出	c=17 d=0.755784 t=82043
tui chu lai 	推出来	c=1 d=2.54272e-38 t=82043
tui dao 	推导	c=1 d=1.032e-47 t=82043
tui diao 	推掉	c=2 d=0.00396599 t=82043
tui dong 	推动	c=3 d=2.12942e-10 t=82043
tui fang 	退房	c=3 d=4.3423e-40 t=82043
tui guang 	推广	c=3 d=1.01668e-18 t=82043
tui hui 	退回	c=4 d=3.3181e-09 t=82043
tui jian 	推荐	c=33 d=0.778801 t=82043
tui jin 	推进	c=8 d=1.18365e-13 t=82043
tui piao 	退票	c=3 d=1.34959e-48 t=82043
tui qiao 	推敲	c=1 d=1 t=65357
tui song 	推送	c=2 d=1.85078e-05 t=82043
tui yi 	推移	c=1 d=2.62202e-17 t=82043
tun 	屯	c=1 d=1 t=68467
tun huo 	吞或	c=1 d=5.2918e-43 t=82043
tuo 	拖	c=2 d=1.04546e-23 t=82043
tuo dong 	拖动	c=2 d=2.25519e-38 t=82043
tuo feng 	驼峰	c=1 d=7.48876e-40 t=82043
tuo guan 	托管	c=1 d=1.35963e-26 t=82043
tuo kong 	脱空	c=1 d=1.34053e-36 t=82043
tuo kuan 	拓宽	c=4 d=8.73093e-22 t=82043
tuo kuan de 	拓宽的	c=1 d=1.74901e-77 t=82043
tuo luo 	脱落	c=1 d=8.99012e-72 t=82043
tuo man 	拖慢	c=1 d=6.58278e-23 t=82043
tuo ni 	托尼	c=2 d=2.43274e-39 t=82043
tuo ying 	拖影	c=1 d=4.35724e-51 t=82043
tuo yuan 	椭圆	c=9 d=0.00567571 t=82043
tuo yun 	托运	c=1 d=1 t=80323
wa 	哇	c=1 d=2.02062e-40 t=82043
wa 	挖	c=6 d=2.00473e-06 t=82043
wa chu lai 	挖出来	c=1 d=4.19594e-19 t=82043
wa dao 	挖到	c=1 d=3.4315e-94 t=82043
wa o 	哇哦	c=1 d=1.25033e-40 t=82043
wa tu 	挖土	c=1 d=5.17732e-21 t=82043
wai 	外	c=49 d=0.110987 t=82043
wai 	歪	c=1 d=1.26311e-42 t=82043
wai bao 	外包	c=2 d=0.0129715 t=82043
wai bu 	外部	c=19 d=0.00166332 t=82043
wai ce 	外侧	c=2 d=0.00301245 t=82043
wai ce mian 	外侧面	c=1 d=1 t=77233
wai chu 	外出	c=1 d=7.29641e-28 t=82043
wai di 	外地	c=2 d=1.76214e-18 t=82043
wai gong 	外公	c=1 d=5.91134e-22 t=82043
wai gua 	外挂	c=3 d=0.0119145 t=82043
wai guan 	外观	c=7 d=6.64745e-11 t=82043
wai guo 	外国	c=2 d=3.49653e-42 t=82043
wai jie 	外接	c=2 d=1.42741 t=48933
wai jing 	外径	c=1 d=3.74968e-49 t=82043
wai li 	外力	c=1 d=2.25519e-38 t=82043
wai li mian 	外立面	c=5 d=1.34492 t=75332
wai lou 	外漏	c=1 d=9.17174e-72 t=82043
wai lu 	外露	c=1 d=1.89739e-35 t=82043
wai mai 	外卖	c=2 d=2.40732e-42 t=82043
wai mian 	外面	c=7 d=0.00127476 t=82043
wai po 	外婆	c=2 d=3.65522e-43 t=82043
wai ren 	外人	c=3 d=7.55909e-45 t=82043
wai shen 	外审	c=5 d=1.03805e-14 t=82043
wai ta 	外拓	c=1 d=3.22364e-06 t=82043
wai tiao bi 	外挑臂	c=1 d=0.000639387 t=82043
wai wen 	外文	c=3 d=1.6598e-20 t=82043
wai xiang 	外向	c=1 d=6.75703e-95 t=82043
wai xing 	外形	c=3 d=1.04241e-18 t=82043
wai yi 	外衣	c=1 d=1.89481e-19 t=82043
wai zhi 	外置	c=1 d=1.05629e-56 t=82043
wan 	万	c=20 d=0.00663763 t=82043
wan 	完	c=42 d=0.463013 t=82043
wan 	弯	c=9 d=1.20725e-05 t=82043
wan 	晚	c=14 d=9.08571e-20 t=82043
wan 	湾	c=4 d=4.76449e-14 t=82043
wan 	玩	c=17 d=0.0718022 t=82043
wan bei 	完备	c=1 d=4.50876e-12 t=82043
wan bi 	完毕	c=5 d=6.67999e-19 t=82043
wan chen 	万臣	c=1 d=2.60717e-09 t=82043
wan cheng 	完成	c=57 d=0.956738 t=82043
wan da 	万达	c=3 d=5.89477e-18 t=82043
wan dao 	弯道	c=1 d=1 t=76197
wan dian 	晚点	c=1 d=1 t=77498
wan fan 	晚饭	c=2 d=4.14064e-10 t=82043
wan fang 	万方	c=13 d=4.71709e-14 t=82043
wan fen 	万分	c=1 d=5.76833e-28 t=82043
wan gou 	弯钩	c=2 d=2.53529e-33 t=82043
wan ju 	弯矩	c=42 d=0.14855 t=82043
wan mei 	完美	c=3 d=1.01615e-12 t=82043
wan nian li 	万年历	c=1 d=1 t=48280
wan niu 	弯扭	c=2 d=1 t=77679
wan qi 	弯起	c=20 d=0.109413 t=82043
wan qi 	晚期	c=1 d=2.35826e-05 t=82043
wan qu 	弯曲	c=9 d=1.8825 t=64761
wan qu 	湾区	c=1 d=6.41807e-19 t=82043
wan quan 	完全	c=5 d=8.13097e-08 t=82043
wan qun 	晚群	c=1 d=2.12313e-34 t=82043
wan ren 	万人	c=1 d=1.22286e-14 t=82043
wan shan 	完善	c=3 d=8.55222e-14 t=82043
wan shang 	晚上	c=27 d=0.0168231 t=82043
wan shang na ge 	晚上那个	c=1 d=5.49934e-25 t=82043
wan shui 	晚睡	c=1 d=5.45685e-22 t=82043
wan wan 	玩玩	c=2 d=7.37374e-05 t=82043
wan zhe 	弯折	c=1 d=0.000382034 t=82043
wan zheng 	完整	c=3 d=1.56559e-09 t=82043
wang 	往	c=5 d=0.0958472 t=82043
wang 	忘	c=4 d=1.66643e-08 t=82043
wang 	望	c=7 d=2.15808e-12 t=82043
wang 	王	c=12 d=0.488911 t=82043
wang 	网	c=18 d=0.00135915 t=82043
wang dao 	王道	c=2 d=4.69516e-18 t=82043
wang dong 	望东	c=2 d=6.43687e-24 t=82043
wang ge 	网格	c=7 d=5.0243e-21 t=82043
wang hou 	往后	c=1 d=1.56581e-40 t=82043
wang ji 	忘记	c=3 d=2.90983e-07 t=82043
wang jia 	王家	c=4 d=8.35395e-39 t=82043
wang jing 	望京	c=1 d=1.38225e-73 t=82043
wang ka 	网卡	c=5 d=4.43599e-56 t=82043
wang le 	忘了	c=3 d=1.64131e-34 t=82043
wang luo 	网络	c=16 d=0.0156076 t=82043
wang luo ji 	网络级	c=1 d=3.90217e-18 t=82043
wang nian 	往年	c=1 d=1 t=74236
wang pan 	网盘	c=18 d=1.10414 t=82043
wang qian 	往前	c=6 d=0.691035 t=82043
wang shan 	望山	c=1 d=2.86651e-07 t=82043
wang shang 	网上	c=6 d=2.88088e-07 t=82043
wang wai 	往外	c=1 d=9.54442e-70 t=82043
wang wang 	往往	c=1 d=1 t=73511
wang xia 	往下	c=2 d=0.000555857 t=82043
wang xian 	网线	c=2 d=1.18263e-41 t=82043
wang ye 	网页	c=2 d=2.7765e-14 t=82043
wang yi 	网易	c=4 d=5.08517e-45 t=82043
wang zhan 	网站	c=5 d=0.0478349 t=82043
wang zhi 	网址	c=5 d=6.99898e-08 t=82043
wang zhuang 	网状	c=2 d=1.956 t=60934
wei 	为	c=331 d=1.3216 t=82043
wei 	伟	c=3 d=0.00949642 t=82043
wei 	伪	c=1 d=1 t=52044
wei 	位	c=8 d=7.90975e-07 t=82043
wei 	卫	c=2 d=1.00004 t=64401
wei 	喂	c=1 d=8.41173e-25 t=82043
wei 	围	c=2 d=7.23474e-21 t=82043
wei 	微	c=1 d=7.37954e-73 t=82043
wei 	未	c=32 d=0.514274 t=82043
wei 	纬	c=1 d=1.97684e-47 t=82043
wei 	维	c=2 d=3.25881e-16 t=82043
wei 	魏	c=4 d=1.20722e-26 t=82043
wei ba 	尾巴	c=1 d=7.25014e-12 t=82043
wei biao 	位表	c=0 d=1.71566e-28 t=82043
wei bo 	微博	c=2 d=2.61776e-86 t=82043
wei bo lu 	微波炉	c=0 d=1.38493e-38 t=82043
wei bu 	尾部	c=3 d=1 t=80867
wei bu 	胃部	c=1 d=2.88079e-36 t=82043
wei dao 	味道	c=1 d=1 t=57148
wei er qi 	韦尔奇	c=0 d=4.24822e-48 t=82043
wei fa 	违法	c=1 d=1.95484e-33 t=82043
wei fan 	违反	c=1 d=1 t=68211
wei hai 	危害	c=1 d=1.67301e-25 t=82043
wei hu 	围护	c=2 d=1.956 t=67176
wei hu 	维护	c=1 d=7.3255e-16 t=82043
wei huang zi 	为幌子	c=2 d=0.481909 t=82043
wei ji 	危机	c=1 d=1 t=68999
wei ji 	维基	c=1 d=3.73427e-30 t=82043
wei ji bai ke 	维基百科	c=1 d=1 t=69000
wei ju 	位居	c=1 d=4.22645e-16 t=82043
wei kou 	胃口	c=2 d=3.70933e-10 t=82043
wei lai 	未来	c=3 d=3.95159e-19 t=82043
wei le 	为了	c=4 d=1.40008e-18 t=82043
wei liu lu 	纬六路	c=1 d=2.13894e-33 t=82043
wei miao 	微秒	c=4 d=0.0519589 t=82043
wei na shang 	为拿上	c=1 d=2.12465e-13 t=82043
wei nan 	为难	c=1 d=1 t=79960
wei ni si 	威尼斯	c=1 d=1 t=63922
wei pu 	维普	c=4 d=0.10435 t=82043
wei qi lai 	围起来	c=1 d=1 t=59614
wei qiang 	围墙	c=1 d=1 t=72301
wei quan 	维权	c=1 d=1.4612e-50 t=82043
wei rao 	围绕	c=1 d=5.63567e-19 t=82043
wei ruan 	微软	c=20 d=0.000941594 t=82043
wei ruan a 	微软啊	c=1 d=1.01071e-37 t=82043
wei ruan ya ti 	微软押题	c=1 d=2.10888e-43 t=82043
wei sha 	为啥	c=2 d=1.01507 t=60855
wei she men 	为射门	c=1 d=2.60628e-05 t=82043
wei shen me 	为什么	c=27 d=0.355226 t=82043
wei shuo ne ma 	为说呢吗	c=1 d=3.59163e-13 t=82043
wei suo 	萎缩	c=1 d=3.28921e-37 t=82043
wei tuo 	委托	c=2 d=9.12348e-10 t=82043
wei tuo shu 	委托书	c=1 d=6.54883e-21 t=82043
wei wo 	为我	c=1 d=1 t=65442
wei xian 	危险	c=3 d=0.427703 t=82043
wei xiao 	微小	c=1 d=3.97896e-12 t=82043
wei xin 	微信	c=119 d=1.41388 t=82043
wei xin nei 	微信内	c=4 d=0.0152985 t=82043
wei xing 	卫星	c=1 d=2.61837e-30 t=82043
wei xiu 	维修	c=3 d=1.7788 t=71067
wei yi 	位移	c=6 d=3.77532e-11 t=82043
wei yi 	卫衣	c=2 d=3.16654e-32 t=82043
wei yi 	唯一	c=4 d=8.50739e-11 t=82043
wei yu 	位于	c=10 d=0.666977 t=82043
wei yuan 	委员	c=1 d=5.57165e-61 t=82043
wei yuan hui 	委员会	c=1 d=1 t=78452
wei zhi 	为止	c=1 d=1.29667e-27 t=82043
wei zhi 	位置	c=90 d=2.91041 t=82043
wei zhi 	未知	c=8 d=3.76078e-25 t=82043
wei zhuang 	伪装	c=1 d=1 t=52046
wen 	文	c=24 d=0.128735 t=82043
wen 	纹	c=1 d=1.54465e-28 t=82043
wen 	问	c=15 d=0.453845 t=82043
wen ben 	文本	c=23 d=0.626861 t=82043
wen ben e 	文本额	c=1 d=1.53293e-55 t=82043
wen bi xia 	温碧霞	c=1 d=1.31582e-23 t=82043
wen cha 	温差	c=2 d=6.85173e-15 t=82043
wen dang 	文档	c=30 d=1.19514 t=82043
wen dao 	问道	c=1 d=1 t=45005
wen de 	问得	c=1 d=6.98984e-23 t=82043
wen ding 	稳定	c=22 d=0.66365 t=82043
wen ding xin 	文鼎新	c=1 d=3.50832e-31 t=82043
wen ding xing 	稳定性	c=4 d=0.737123 t=82043
wen du 	温度	c=31 d=0.647265 t=82043
wen hao 	问号	c=1 d=1 t=57377
wen hua 	文化	c=5 d=9.50713e-24 t=82043
wen ji 	问及	c=0 d=6.94411e-35 t=82043
wen ji na 	问及那	c=3 d=6.97891e-34 t=82043
wen jia 	文佳	c=1 d=4.81893e-30 t=82043
wen jian 	文件	c=303 d=0.878095 t=82043
wen jian de 	稳健的	c=1 d=3.00356e-27 t=82043
wen jian jia 	文件夹	c=2 d=7.94939e-07 t=82043
wen juan 	问卷	c=1 d=1.77062e-45 t=82043
wen le 	问了	c=1 d=1.72661e-43 t=82043
wen lu 	纹路	c=1 d=1 t=46395
wen ming 	文明	c=1 d=2.25795e-23 t=82043
wen ni 	问你	c=5 d=0.499074 t=82043
wen shi du 	温湿度	c=1 d=3.51991e-11 t=82043
wen tai yi 	温太医	c=1 d=5.06876e-07 t=82043
wen ti 	问题	c=103 d=0.0634899 t=82043
wen tuo 	稳妥	c=1 d=1.28866e-13 t=82043
wen wen 	问问	c=3 d=0.0177284 t=82043
wen wen ne 	问问呢	c=1 d=0.178173 t=82043
wen wo 	问我	c=1 d=5.94097e-22 t=82043
wen xi 	温习	c=1 d=2.2155e-35 t=82043
wen xia 	问下	c=43 d=0.918586 t=82043
wen xian 	文献	c=4 d=2.63103e-20 t=82043
wen xue 	文学	c=1 d=1.6409e-91 t=82043
wen xun 	闻讯	c=1 d=2.80393e-12 t=82043
wen zhang 	文章	c=2 d=1.53246e-22 t=82043
wen zhi 	闻之	c=1 d=5.47808e-97 t=82043
wen zi 	文字	c=18 d=2.23822e-08 t=82043
weng 	翁	c=3 d=7.49028e-13 t=82043
wo 	卧	c=1 d=1.87973e-72 t=82043
wo 	我	c=575 d=3.05051 t=82043
wo ba 	我把	c=2 d=0.323033 t=82043
wo bang ni 	我帮你	c=2 d=1.70914e-41 t=82043
wo ben lai 	我本来	c=1 d=3.88192e-45 t=82043
wo bu 	我不	c=0 d=1.74491e-21 t=82043
wo bu chuan 	我不传	c=1 d=1.75365e-20 t=82043
wo bu guan 	我不管	c=1 d=2.45743e-19 t=82043
wo bu shi 	我不是	c=1 d=6.81124e-42 t=82043
wo bu zhi dao 	我不知道	c=1 d=2.54185e-34 t=82043
wo dai zhe 	我带着	c=1 d=1.76941e-37 t=82043
wo dang chu 	我当初	c=1 d=3.06893e-45 t=82043
wo de 	我的	c=7 d=0.00477911 t=82043
wo dei 	我得	c=3 d=1.76095e-10 t=82043
wo dong 	我懂	c=1 d=1 t=60850
wo dou 	我都	c=3 d=4.13417e-21 t=82043
wo dou shi 	我都是	c=1 d=8.98459e-06 t=82043
wo dui 	我对	c=1 d=2.3517e-31 t=82043
wo er jian 	我而建	c=1 d=1 t=76817
wo er ma 	沃尔玛	c=0 d=2.04169e-16 t=82043
wo er ma ne 	沃尔玛呢	c=1 d=2.05192e-15 t=82043
wo er nian 	我二年	c=2 d=7.48749e-38 t=82043
wo fa 	我发	c=0 d=5.423e-38 t=82043
wo fa gei 	我发给	c=1 d=5.45018e-37 t=82043
wo fa xian 	我发现	c=1 d=2.50657e-46 t=82043
wo ga nu e 	我噶怒恶	c=1 d=1 t=45108
wo gan 	我敢	c=0 d=3.42345e-38 t=82043
wo gan ju 	我敢距	c=1 d=3.44061e-37 t=82043
wo gan jue 	我感觉	c=5 d=9.66756e-15 t=82043
wo gen 	我跟	c=1 d=1 t=61718
wo gen ni 	我跟你	c=1 d=3.25039e-15 t=82043
wo gong zuo 	我工作	c=2 d=3.70007e-43 t=82043
wo gu ji 	我估计	c=1 d=0.261846 t=82043
wo gu ma 	我姑妈	c=1 d=7.33697e-05 t=82043
wo guo 	我国	c=1 d=3.58358e-16 t=82043
wo hai 	我还	c=0 d=2.0102e-39 t=82043
wo hai dei 	我还得	c=1 d=4.86374e-80 t=82043
wo hai shi 	我还是	c=1 d=1 t=54788
wo hai xiang 	我还想	c=1 d=8.88554e-52 t=82043
wo hai yi wei 	我还以为	c=1 d=2.02027e-38 t=82043
wo hai zai 	我还在	c=3 d=1.0736e-12 t=82043
wo hou mian 	我后面	c=2 d=0.000564257 t=82043
wo hui jia 	我回家	c=1 d=1 t=52590
wo ji de 	我记得	c=1 d=3.05362e-45 t=82043
wo jin 	握紧	c=0 d=0.1 t=45901
wo jin nian 	我今年	c=1 d=1.54145e-32 t=82043
wo jin tian 	我今天	c=2 d=2.67964e-08 t=82043
wo jin wan 	握紧完	c=2 d=1.93707 t=45915
wo jiu 	我就	c=5 d=0.0689068 t=82043
wo jiu de 	我就得	c=1 d=5.4615e-32 t=82043
wo jiu shi 	我就是	c=2 d=1.28246e-15 t=82043
wo jiu yao 	我就要	c=1 d=1.74396e-43 t=82043
wo jue de 	我觉得	c=6 d=4.95372e-31 t=82043
wo kan 	我看	c=4 d=4.94846e-14 t=82043
wo kan dao 	我看到	c=1 d=2.17318e-14 t=82043
wo kan jian 	我看见	c=2 d=0.128093 t=82043
wo kan kan 	我看看	c=2 d=8.0679e-34 t=82043
wo kan ni 	我看你	c=1 d=1 t=54945
wo kan xia 	我看下	c=24 d=1.64956e-06 t=82043
wo ke bu shi 	我可不是	c=1 d=2.23313e-40 t=82043
wo liang 	我两	c=1 d=2.4515e-20 t=82043
wo mei you 	我没有	c=2 d=3.25205e-21 t=82043
wo men 	我们	c=152 d=1.38032 t=82043
wo men ne 	我们呢	c=1 d=8.97302e-79 t=82043
wo ming tian 	我明天	c=3 d=3.28698e-29 t=82043
wo na 	我那	c=0 d=7.32924e-23 t=82043
wo na shi hou 	我那时候	c=1 d=7.36598e-22 t=82043
wo qu 	我去	c=7 d=0.000505506 t=82043
wo shang ban 	我上班	c=2 d=0.25284 t=82043
wo shi 	我是	c=5 d=0.151072 t=82043
wo shi yi xia 	我试一下	c=1 d=1 t=62287
wo shi zhen 	涴市镇	c=1 d=5.67647e-45 t=82043
wo shuo 	我说	c=1 d=2.53866e-78 t=82043
wo tu zhi 	我图纸	c=1 d=2.61064e-54 t=82043
wo wan 	我完	c=0 d=2.01643e-46 t=82043
wo wan hang 	我完行	c=1 d=2.02654e-45 t=82043
wo wen 	我问	c=0 d=0.0433874 t=82043
wo wen xia 	我问下	c=2 d=0.436049 t=82043
wo xian 	我先	c=1 d=0.0112478 t=82043
wo xian wen xia 	我先问下	c=1 d=0.113042 t=82043
wo xian zai 	我现在	c=3 d=9.59232e-20 t=82043
wo xiang 	我想	c=9 d=0.913931 t=82043
wo xiang mai 	我想买	c=1 d=3.1494e-26 t=82043
wo xiang xin 	我相信	c=1 d=6.29292e-52 t=82043
wo xiu gai 	我修改	c=1 d=1.88305e-34 t=82043
wo xiu xi 	我休息	c=1 d=3.02324e-45 t=82043
wo ye 	我也	c=6 d=1.5688e-33 t=82043
wo ye jue de 	我也觉得	c=1 d=1.13976e-39 t=82043
wo yi 	我一	c=1 d=1 t=47356
wo yi ge 	我一个	c=1 d=1 t=61879
wo yi jing 	我已经	c=1 d=1.17407e-35 t=82043
wo yi wei 	我以为	c=1 d=1 t=66668
wo yi xia 	我一下	c=1 d=3.87136e-13 t=82043
wo yi zhi 	我一直	c=1 d=1 t=59985
wo yong 	我用	c=1 d=1 t=66926
wo yong lai 	我用来	c=1 d=4.11062e-42 t=82043
wo you 	我有	c=1 d=1 t=79768
wo zai 	我在	c=2 d=4.33049e-08 t=82043
wo zan shi 	我暂时	c=1 d=0.546074 t=82043
wo zen me 	我怎么	c=1 d=1.19877e-74 t=82043
wo zhao 	我找	c=1 d=2.21173e-16 t=82043
wo zhao dao 	我找到	c=1 d=4.10337e-80 t=82043
wo zhao yi xia 	我找一下	c=2 d=0.000505481 t=82043
wo zhe 	我这	c=4 d=4.5899e-22 t=82043
wo zhe bian 	我这边	c=17 d=0.00986363 t=82043
wo zhe ge 	我这个	c=2 d=6.82909e-14 t=82043
wo zhe li 	我这里	c=1 d=1 t=70436
wo zhe me 	我这么	c=1 d=9.07613e-37 t=82043
wo zhe yang 	我这样	c=1 d=4.21468e-42 t=82043
wo zhei ban 	我这板	c=1 d=1 t=62136
wo zheng li 	我整理	c=1 d=1.54781e-51 t=82043
wo zhi 	我只	c=1 d=1.06582e-44 t=82043
wo zhi dao 	我知道	c=3 d=1.19019e-19 t=82043
wo zhi jie 	我直接	c=3 d=8.00206e-19 t=82043
wo zhi neng 	我只能	c=1 d=1 t=59653
wo zhi qi na 	我之气拿	c=1 d=4.96923e-09 t=82043
wo zhi qian 	我之前	c=7 d=7.26396e-05 t=82043
wo zhi ye 	沃枝叶	c=1 d=1 t=44651
wo zhong wu 	我中午	c=1 d=1 t=57706
wo zi ji 	我自己	c=2 d=2.64649e-38 t=82043
wo zuo wan 	我昨晚	c=1 d=6.22712e-46 t=82043
wu 	五	c=17 d=0.00182715 t=82043
wu 	务	c=3 d=1.1308e-05 t=82043
wu 	勿	c=2 d=2.50836e-25 t=82043
wu 	吴	c=19 d=0.213317 t=82043
wu 	吾	c=1 d=7.49107e-73 t=82043
wu 	无	c=48 d=0.634448 t=82043
wu 	物	c=2 d=7.53167e-19 t=82043
wu 	误	c=2 d=4.62644e-14 t=82043
wu cha 	误差	c=3 d=1.02757e-12 t=82043
wu chong 	吴冲	c=3 d=2.64486 t=78476
wu da 	五大	c=1 d=1.44995e-18 t=82043
wu dang pai 	无党派	c=1 d=1 t=54614
wu dao 	误导	c=1 d=5.20221e-48 t=82043
wu dian 	误点	c=1 d=1.27013e-19 t=82043
wu fa 	无法	c=9 d=0.612626 t=82043
wu ge 	五个	c=1 d=3.7259e-33 t=82043
wu gong 	圬工	c=4 d=2.9605 t=53207
wu gong 	武功	c=1 d=1 t=48221
wu han 	吴汉	c=11 d=9.90599e-06 t=82043
wu han 	武汉	c=5 d=5.63696e-12 t=82043
wu han lu 	武汉路	c=1 d=0.384812 t=82043
wu hao 	五号	c=1 d=3.64839e-21 t=82043
wu ji ming 	无记名	c=1 d=1 t=57181
wu jia 	物价	c=1 d=1.44096e-33 t=82043
wu jie 	无解	c=1 d=6.86427e-45 t=82043
wu jie mian 	无界面	c=1 d=6.62366e-37 t=82043
wu jin 	五金	c=1 d=2.41328e-41 t=82043
wu kong 	悟空	c=5 d=2.31407e-77 t=82043
wu li 	物理	c=1 d=1.24561e-25 t=82043
wu liang ye 	五粮液	c=2 d=1.89137 t=59869
wu liao 	无聊	c=3 d=2.35556e-27 t=82043
wu liao 	物料	c=1 d=7.69273e-62 t=82043
wu liu 	物流	c=2 d=5.37359e-38 t=82043
wu long 	武隆	c=1 d=1.41999e-37 t=82043
wu lu mu qi 	乌鲁木齐	c=1 d=9.15176e-17 t=82043
wu nai 	无奈	c=1 d=3.10241e-55 t=82043
wu ni 	污泥	c=1 d=1.86114e-14 t=82043
wu pan 	误判	c=2 d=9.90396e-15 t=82043
wu qiong da 	无穷大	c=1 d=1.01439e-21 t=82043
wu ren 	无人	c=1 d=4.37774e-18 t=82043
wu ren ji 	无人机	c=2 d=2.49594e-11 t=82043
wu shi 	巫师	c=4 d=7.48657e-12 t=82043
