# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
jie mian 	界面	c=1 d=0.174645 t=11833
jie mian xuan ze 	截面選擇	c=1 d=0.268474 t=11833
jie mu 	節目	c=1 d=0.763379 t=11833
jie ping 	接平	c=5 d=0.338114 t=11833
jie shao 	介紹	c=3 d=0.625309 t=11833
jie shi 	解釋	c=2 d=0.219808 t=11833
jie shou 	接受	c=7 d=0.398575 t=11833
jie shou 	接收	c=1 d=1 t=10108
jie shu 	結束	c=2 d=0.178173 t=11833
jie su 	借宿	c=1 d=6.84444e-11 t=11833
jie suo 	解鎖	c=1 d=5.64353e-06 t=11833
jie tu 	截圖	c=2 d=2.86256e-17 t=11833
jie wen 	接吻	c=1 d=8.21549e-12 t=11833
jie yi 	介意	c=1 d=0.0347353 t=11833
jie zhu 	藉助	c=1 d=0.0102549 t=11833
jie zou 	節奏	c=1 d=1.67911e-09 t=11833
jin 	勁	c=1 d=1.44946e-14 t=11833
jin 	筋	c=4 d=1.79759 t=11833
jin 	緊	c=1 d=7.44912e-07 t=11833
jin 	近	c=3 d=0.0129068 t=11833
jin 	進	c=9 d=0.798588 t=11833
jin 	金	c=5 d=0.000131365 t=11833
jin 	靳	c=5 d=0.00550999 t=11833
jin bi 	金幣	c=1 d=4.05162e-19 t=11833
jin cheng 	進程	c=15 d=1.28845 t=11833
jin du 	進度	c=3 d=0.000233022 t=11833
jin ji 	禁忌	c=1 d=0.418952 t=11833
jin kuai 	儘快	c=1 d=3.137e-09 t=11833
jin lai 	進來	c=2 d=0.00388746 t=11833
jin liang 	儘量	c=1 d=6.96467e-10 t=11833
jin nian 	今年	c=2 d=0.0792617 t=11833
jin qu 	進去	c=2 d=0.0728029 t=11833
jin ru 	進入	c=2 d=0.213312 t=11833
jin shen 	謹慎	c=1 d=2.56748e-05 t=11833
jin tian 	今天	c=16 d=1.16781 t=11833
jin tie 	津貼	c=1 d=0.280832 t=11833
jin tou 	盡頭	c=1 d=6.67545e-11 t=11833
jin wan 	今晚	c=4 d=0.725129 t=11833
jin xing 	進行	c=7 d=0.81468 t=11833
jin zhi 	禁止	c=1 d=0.0135009 t=11833
jing 	徑	c=1 d=0.704688 t=11833
jing 	淨	c=4 d=3.4508 t=10173
jing 	靜	c=1 d=1 t=9616
jing chang 	經常	c=1 d=0.318224 t=11833
jing dian 	景點	c=1 d=0.128093 t=11833
jing dian 	經典	c=1 d=7.77584e-12 t=11833
jing dong 	京東	c=5 d=0.514274 t=11833
jing gao 	警告	c=1 d=1.86533e-11 t=11833
jing guan 	景觀	c=1 d=9.56486e-07 t=11833
jing ji 	經濟	c=3 d=0.0112532 t=11833
jing kong 	淨空	c=1 d=3.35805e-16 t=11833
jing ling 	精靈	c=2 d=1.54064 t=8941
jing mao 	經貿	c=1 d=0.447088 t=11833
jing que dao 	精確到	c=1 d=0.155673 t=11833
jing shi 	警示	c=1 d=3.81113e-05 t=11833
jing wai 	境外	c=1 d=0.285076 t=11833
jing xuan 	精選	c=1 d=1 t=9349
jing zheng 	競爭	c=1 d=3.27236e-06 t=11833
jing zhi 	精緻	c=1 d=0.00181803 t=11833
jiu 	久	c=2 d=0.0611149 t=11833
jiu 	九	c=2 d=0.0587414 t=11833
jiu 	就	c=53 d=2.08115 t=11833
jiu 	救	c=1 d=1.51278e-17 t=11833
jiu dei 	就得	c=4 d=0.353907 t=11833
jiu di 	就地	c=2 d=3.53805e-05 t=11833
jiu en na ge 	就恩那個	c=1 d=0.763379 t=11833
jiu gong 	舅公	c=1 d=0.0225956 t=11833
jiu hao 	就好	c=1 d=0.0428521 t=11833
jiu ke yi 	就可以	c=5 d=0.0623495 t=11833
jiu mei you 	就沒有	c=1 d=1 t=8911
jiu na 	就拿	c=0 d=3.33154e-12 t=11833
jiu na yang 	就拿楊	c=1 d=3.34824e-11 t=11833
jiu neng 	就能	c=3 d=0.680451 t=11833
jiu qu 	就去	c=1 d=0.000902809 t=11833
jiu shi 	就是	c=24 d=1.1134 t=11833
jiu xi 	就席	c=1 d=7.94804e-05 t=11833
jiu yao 	就要	c=2 d=1.63885e-07 t=11833
jiu ye 	就業	c=1 d=0.000750328 t=11833
jiu yong 	就用	c=1 d=2.5701e-17 t=11833
jiu zhi 	救治	c=1 d=0.131994 t=11833
ju 	句	c=1 d=0.084163 t=11833
ju 	局	c=5 d=1.63454 t=11833
ju ao 	倨傲	c=0 d=0.1 t=9033
ju bu 	局部	c=5 d=0.194952 t=11833
ju chang ban 	劇場版	c=1 d=0.609571 t=11833
ju chi 	鋸齒	c=1 d=1 t=11652
ju jue 	拒絕	c=1 d=0.327915 t=11833
ju li 	距離	c=3 d=0.421052 t=11833
ju qi 	舉起	c=1 d=1 t=11345
ju ran 	居然	c=2 d=0.212248 t=11833
ju ti 	具體	c=9 d=0.388703 t=11833
ju xing 	矩形	c=1 d=0.00191125 t=11833
ju you 	具有	c=1 d=0.000119165 t=11833
ju yu wang 	局域網	c=1 d=0.0657047 t=11833
ju yu wang nei 	局域網內	c=1 d=0.66034 t=11833
ju zhen 	矩陣	c=1 d=0.000171659 t=11833
jue de 	覺得	c=5 d=0.771052 t=11833
jue ding 	決定	c=1 d=6.49824e-18 t=11833
jue dui 	絕對	c=3 d=0.00010569 t=11833
jue dui zhi 	絕對值	c=1 d=0.000645813 t=11833
jue jiao 	絕交	c=1 d=0.119433 t=11833
jun 	均	c=1 d=0.677057 t=11833
jun 	軍	c=2 d=0.952514 t=11833
jun 	郡	c=1 d=0.895834 t=11833
ka 	卡	c=9 d=0.145277 t=11833
ka na ke neng 	卡那可能	c=1 d=1 t=9780
ka zai 	卡在	c=2 d=1.81058 t=9390
kai 	開	c=6 d=0.396531 t=11833
kai che 	開車	c=1 d=0.0132336 t=11833
kai chu 	開除	c=1 d=0.00275318 t=11833
kai fa 	開發	c=5 d=0.938156 t=11833
kai fang 	開放	c=1 d=0.00465413 t=11833
kai ge 	開個	c=1 d=1.01632e-14 t=11833
kai ji 	開機	c=3 d=0.52714 t=11833
kai qi 	開啓	c=3 d=0.924703 t=11833
kai shi 	開始	c=9 d=0.514299 t=11833
kai tou 	開頭	c=1 d=0.106992 t=11833
kai yuan 	開源	c=4 d=0.00623959 t=11833
kan 	勘	c=3 d=8.46106e-14 t=11833
kan 	看	c=21 d=2.88634 t=11833
kan 	砍	c=1 d=0.923116 t=11833
kan bu 	看不	c=1 d=6.29098e-19 t=11833
kan bu dong 	看不懂	c=1 d=7.19291e-07 t=11833
kan bu xia qu 	看不下去	c=1 d=0.57695 t=11833
kan cha 	勘察	c=6 d=5.97806e-07 t=11833
kan dao 	看到	c=4 d=0.216536 t=11833
kan de 	看的	c=2 d=0.0218941 t=11833
kan dian ying 	看電影	c=1 d=1.90858e-16 t=11833
kan dong 	看懂	c=1 d=2.74178e-13 t=11833
kan duo 	看多	c=1 d=1.08159e-11 t=11833
kan guo 	看過	c=2 d=0.571279 t=11833
kan kan 	看看	c=9 d=0.08997 t=11833
kan lai 	看來	c=4 d=0.202913 t=11833
kan le 	看了	c=2 d=0.0880368 t=11833
kan wan 	看完	c=1 d=0.683861 t=11833
kan xia 	看下	c=3 d=0.101774 t=11833
kan yang zi 	看樣子	c=1 d=0.256661 t=11833
kan zhe 	看着	c=1 d=5.00792e-12 t=11833
kang 	康	c=2 d=1.58975e-05 t=11833
kang 	抗	c=3 d=2.09348e-05 t=11833
kang zhen 	抗震	c=2 d=1.02788 t=9514
kao 	烤	c=1 d=4.35146e-06 t=11833
kao 	靠	c=1 d=6.74713e-19 t=11833
kao bei 	靠背	c=1 d=4.70171e-05 t=11833
kao bu zhu 	靠不住	c=1 d=0.197899 t=11833
kao cha 	考察	c=1 d=2.29449e-06 t=11833
kao liang 	考量	c=1 d=0.00609675 t=11833
kao lv 	考慮	c=21 d=1.32475 t=11833
kao pu 	靠譜	c=1 d=5.18454e-08 t=11833
kao shi 	考試	c=1 d=0.0152222 t=11833
ke 	可	c=2 d=0.0081887 t=11833
ke 	科	c=2 d=0.0381969 t=11833
ke 	課	c=4 d=4.74326e-09 t=11833
ke bi 	可比	c=1 d=0.00767337 t=11833
ke cheng 	課程	c=1 d=2.5428e-09 t=11833
ke du 	可讀	c=1 d=0.12938 t=11833
ke guan 	可觀	c=1 d=0.000678925 t=11833
ke guan 	客觀	c=1 d=0.000675539 t=11833
ke hu duan 	客戶端	c=9 d=4.90141 t=11833
ke ji 	科技	c=1 d=0.0175097 t=11833
ke jian 	可見	c=1 d=9.28691e-13 t=11833
ke lian 	可憐	c=1 d=0.00444934 t=11833
ke neng 	可能	c=8 d=1.18962 t=11833
ke neng na ge 	可能那個	c=1 d=0.0103063 t=11833
ke pa 	可怕	c=1 d=1.20486e-16 t=11833
ke shi 	可是	c=3 d=0.516851 t=11833
ke xi 	可惜	c=5 d=0.775071 t=11833
ke xing 	可行	c=1 d=2.16271e-16 t=11833
ke xue 	科學	c=1 d=0.000175127 t=11833
ke yi 	可以	c=22 d=1.34019 t=11833
ke yi da 	可以打	c=1 d=0.000788798 t=11833
ken ben 	肯本	c=1 d=0.0468877 t=11833
ken ding 	肯定	c=5 d=0.0198411 t=11833
ken neng 	肯能	c=1 d=1 t=10508
keng 	坑	c=1 d=1 t=10302
kong 	孔	c=7 d=0.827705 t=11833
kong 	空	c=3 d=0.0534179 t=11833
kong bai 	空白	c=3 d=0.104469 t=11833
kong dao 	孔道	c=4 d=1.10971e-14 t=11833
kong xian 	空閒	c=1 d=2.88039e-05 t=11833
kong zhi 	控制	c=2 d=0.353462 t=11833
kong zhi qi 	控制器	c=3 d=0.035327 t=11833
kong zi 	孔子	c=1 d=9.35603e-12 t=11833
kou tou 	口頭	c=1 d=3.60902e-11 t=11833
ku 	庫	c=2 d=9.23431e-05 t=11833
ku zhong 	苦衷	c=1 d=5.9216e-13 t=11833
kua 	跨	c=5 d=0.00422141 t=11833
kua chu 	跨出	c=1 d=6.62952e-18 t=11833
kua du 	跨度	c=2 d=1.99501 t=9371
kua jing 	跨境	c=1 d=0.701173 t=11833
kua jing 	跨徑	c=4 d=0.073996 t=11833
kua si hu 	跨似乎	c=1 d=0.0424257 t=11833
kua xian 	跨線	c=1 d=3.4088e-16 t=11833
kua yue 	跨越	c=2 d=7.41566e-16 t=11833
kuai 	塊	c=14 d=0.0234485 t=11833
kuai 	快	c=2 d=0.0699482 t=11833
kuai can 	快餐	c=2 d=1.14634e-10 t=11833
kuai di 	快遞	c=2 d=1.70822 t=10861
kuai jie 	快捷	c=1 d=1.33388e-07 t=11833
kuai jie jian 	快捷鍵	c=2 d=0.000168836 t=11833
kuai le 	快樂	c=2 d=0.826959 t=11833
kuai su 	快速	c=6 d=1.0977 t=11833
kuan 	寬	c=6 d=0.0539337 t=11833
kuan 	款	c=1 d=2.02557e-10 t=11833
kuan du 	寬度	c=3 d=0.055299 t=11833
kuang 	狂	c=1 d=0.0497871 t=11833
kun 	昆	c=1 d=1.49721e-13 t=11833
kun ming chi 	昆明池	c=1 d=0.222017 t=11833
kuo shan 	擴山	c=1 d=0.13466 t=11833
kuo zhan 	擴展	c=1 d=0.0982736 t=11833
la 	啦	c=7 d=0.450053 t=11833
la 	拉	c=2 d=4.77632e-06 t=11833
la 	辣	c=2 d=1.27226e-10 t=11833
la er 	拉爾	c=1 d=3.97139e-19 t=11833
la kua 	拉跨	c=1 d=1.02371e-11 t=11833
la li 	拉力	c=0 d=2.3485e-16 t=11833
la qu 	拉去	c=1 d=2.95331e-05 t=11833
la qu 	拉取	c=1 d=0.000220415 t=11833
la ying li 	啦盈利	c=1 d=1 t=9242
lai 	來	c=16 d=1.04957 t=11833
lai bu ji 	來不及	c=1 d=1.63849e-15 t=11833
lai hui 	來回	c=1 d=0.0232837 t=11833
lai le 	來了	c=1 d=0.715338 t=11833
lan 	懶	c=1 d=0.367879 t=11833
lan 	欄	c=3 d=0.874224 t=11833
lan 	藍	c=0 d=0.0704688 t=11833
lan gan 	欄杆	c=4 d=4.06604e-05 t=11833
lan ping 	藍屏	c=2 d=1.99501 t=11673
lan tu 	藍圖	c=1 d=2.68009e-10 t=11833
lan ya 	藍牙	c=3 d=0.956271 t=11833
lang 	廊	c=6 d=4.39161e-05 t=11833
lang 	浪	c=1 d=0.00458484 t=11833
lang 	郎	c=1 d=1.05543e-17 t=11833
lang fei 	浪費	c=1 d=1 t=10459
lao 	澇	c=1 d=1 t=8808
lao 	老	c=2 d=0.0246002 t=11833
lao de 	老的	c=1 d=0.67368 t=11833
lao gong 	老公	c=1 d=7.35971e-12 t=11833
lao jia 	老家	c=1 d=1.57698e-06 t=11833
lao jiang 	老江	c=5 d=0.212245 t=11833
lao jie 	老姐	c=1 d=1 t=10639
lao ke 	嘮嗑	c=1 d=0.0555762 t=11833
lao lao 	姥姥	c=2 d=2.48388e-16 t=11833
lao po 	老婆	c=2 d=0.278218 t=11833
lao po kan kan 	老婆看看	c=1 d=3.2757e-18 t=11833
lao qiao 	老橋	c=2 d=5.72338e-16 t=11833
lao ren 	老人	c=3 d=0.102332 t=11833
lao shi 	老實	c=1 d=2.14155e-18 t=11833
lao shi 	老師	c=3 d=7.65616e-06 t=11833
lao tai tai 	老太太	c=1 d=0.0184997 t=11833
le 	了	c=271 d=9.1185 t=11833
le 	嘞	c=10 d=3.08357e-14 t=11833
le 	樂	c=8 d=1.01673e-10 t=11833
le 	肋	c=4 d=7.95751e-16 t=11833
le ma 	了嗎	c=1 d=0.644036 t=11833
lei 	淚	c=2 d=6.66658e-17 t=11833
lei 	累	c=1 d=1 t=10207
lei 	雷	c=3 d=2.39533 t=8919
lei 	類	c=8 d=0.12668 t=11833
lei bie 	類別	c=1 d=3.74788e-14 t=11833
lei le 	累了	c=1 d=1 t=10493
lei si 	類似	c=2 d=0.715338 t=11833
lei tong 	雷同	c=1 d=4.85992e-12 t=11833
lei xing 	類型	c=1 d=1 t=10021
leng 	冷	c=3 d=0.0130029 t=11833
leng bao li 	冷暴力	c=1 d=0.13068 t=11833
li 	利	c=1 d=0.109701 t=11833
li 	力	c=6 d=1.2117 t=11833
li 	李	c=4 d=0.99005 t=11833
li 	栗	c=1 d=7.37751e-11 t=11833
li 	裏	c=3 d=0.782705 t=11833
li 	離	c=1 d=0.0023344 t=11833
li bai 	禮拜	c=5 d=0.151093 t=11833
li cheng 	里程	c=1 d=4.43167e-15 t=11833
li dao 	力道	c=1 d=0.000784864 t=11833
li dun 	立墩	c=2 d=2.05507e-16 t=11833
li hai 	厲害	c=2 d=5.65718e-05 t=11833
li jiao 	立交	c=2 d=6.57408e-16 t=11833
li jie 	理解	c=3 d=0.00114374 t=11833
li ju 	力矩	c=1 d=0.00384878 t=11833
li lun shang 	理論上	c=1 d=1.25706e-15 t=11833
li mi 	釐米	c=0 d=6.25747e-16 t=11833
li mi na 	釐米那	c=1 d=6.28884e-15 t=11833
li mian 	立面	c=4 d=0.0518655 t=11833
li mian 	裏面	c=15 d=1.17767 t=11833
li qiang 	李強	c=1 d=8.78843e-11 t=11833
li qing 	瀝青	c=1 d=1 t=9459
li qu 	離去	c=1 d=0.0234005 t=11833
li tao wan 	立陶宛	c=1 d=7.9974e-19 t=11833
li wu 	禮物	c=1 d=2.40631e-07 t=11833
li xi 	利息	c=4 d=0.00440029 t=11833
li yang 	李陽	c=1 d=1 t=9307
li yong 	利用	c=2 d=0.242926 t=11833
li yu 	鯉魚	c=1 d=1 t=9075
li zhu 	立柱	c=4 d=3.61037 t=11833
lia 	倆	c=1 d=6.10298e-15 t=11833
lian 	練	c=1 d=5.72085e-19 t=11833
lian 	聯	c=2 d=0.0182327 t=11833
lian 	連	c=1 d=0.995012 t=11833
lian de 	練得	c=1 d=1.55002e-09 t=11833
lian ji 	聯機	c=1 d=1 t=9540
lian jie 	連接	c=2 d=0.960799 t=11833
lian jie 	鏈接	c=3 d=1.21028 t=11833
lian jie xian 	連接線	c=1 d=0.486752 t=11833
lian kao 	聯考	c=1 d=0.847894 t=11833
lian shang 	臉上	c=1 d=1 t=9010
lian shang 	連上	c=1 d=1 t=9011
lian xi 	聯繫	c=1 d=1.12535e-07 t=11833
lian xiang 	聯想	c=1 d=2.49287e-11 t=11833
lian xu 	連續	c=11 d=0.652609 t=11833
lian yun gang 	連雲港	c=1 d=9.32711e-05 t=11833
lian zhe 	連着	c=1 d=1 t=11048
liang 	兩	c=3 d=0.745104 t=11833
liang 	樑	c=27 d=1.49373 t=11833
liang 	量	c=6 d=1.4984 t=11833
liang ce 	兩側	c=2 d=6.72842e-14 t=11833
liang ceng 	兩層	c=1 d=3.80258e-08 t=11833
liang ci 	兩次	c=4 d=5.22846e-09 t=11833
liang dao 	兩道	c=3 d=1.6249e-15 t=11833
liang gao 	涼糕	c=1 d=1.74734e-07 t=11833
liang ge 	兩個	c=7 d=0.501787 t=11833
liang ge ren 	兩個人	c=1 d=0.00174675 t=11833
liang ge ren neng 	兩個人能	c=1 d=3.61713e-08 t=11833
liang lie 	兩列	c=1 d=1 t=11519
liang tian 	兩天	c=2 d=2.65738e-09 t=11833
liang tiao 	兩條	c=1 d=3.97004e-15 t=11833
liang zhang 	兩張	c=1 d=2.28896e-07 t=11833
liao 	了	c=1 d=1.52798e-17 t=11833
liao 	料	c=1 d=2.6949e-16 t=11833
liao 	聊	c=5 d=0.716911 t=11833
liao jie 	瞭解	c=5 d=0.944842 t=11833
liao tian 	聊天	c=6 d=0.392867 t=11833
liao tian qi 	聊天起	c=1 d=5.81541e-06 t=11833
liao xia 	撂下	c=0 d=0.1 t=10594
liao xia qu 	撂下區	c=1 d=1 t=10595
lie 	列	c=1 d=8.57436e-15 t=11833
lie biao 	列表	c=3 d=0.128841 t=11833
lie du 	烈度	c=1 d=2.96347e-16 t=11833
lie mo 	獵魔	c=1 d=0.265803 t=11833
lin 	林	c=2 d=3.42356e-08 t=11833
lin wai 	林外	c=1 d=0.000176887 t=11833
ling 	令	c=0 d=0.0140858 t=11833
ling 	凌	c=5 d=0.0165213 t=11833
ling 	另	c=1 d=1.05288e-18 t=11833
ling dao 	領導	c=9 d=3.19145 t=11833
ling ting 	聆聽	c=1 d=0.103312 t=11833
ling wai 	另外	c=1 d=0.744532 t=11833
ling yi ge 	另一個	c=1 d=1.04241e-18 t=11833
liu 	六	c=1 d=0.205975 t=11833
liu 	柳	c=2 d=0.000126899 t=11833
liu 	留	c=2 d=1.8781 t=9317
liu cheng 	流程	c=8 d=1.73043 t=11056
liu chu 	流出	c=3 d=1.55259e-10 t=11833
liu ju 	六句	c=1 d=2.61392e-10 t=11833
liu lan qi 	瀏覽器	c=6 d=1.71331 t=11833
liu lian 	榴槤	c=1 d=0.0154523 t=11833
liu liang 	流量	c=2 d=5.01747e-05 t=11833
liu qi 	六七	c=0 d=0.0193013 t=11833
liu shui 	流水	c=1 d=1 t=10847
long 	龍	c=5 d=1.0501 t=11833
lou 	嘍	c=1 d=1 t=11004
lou 	樓	c=1 d=4.29704e-05 t=11833
lou 	漏	c=2 d=7.17721e-10 t=11833
lou ceng 	樓層	c=1 d=4.44012e-08 t=11833
lu 	盧	c=1 d=1.09757e-07 t=11833
lu 	路	c=14 d=5.66569 t=11833
lu 	陸	c=3 d=2.10133 t=11399
lu 	魯	c=2 d=0.00492917 t=11833
lu bu 	盧布	c=1 d=0.798516 t=11833
lu cheng 	路程	c=1 d=0.810584 t=11833
lu da shi 	魯大師	c=1 d=0.0495388 t=11833
lu deng 	路燈	c=1 d=1 t=10093
lu jiao 	鹿角	c=2 d=0.0236234 t=11833
lu jin 	鹿巾	c=1 d=2.62202e-17 t=11833
lu jing 	路徑	c=18 d=0.000185956 t=11833
lu kou 	路口	c=2 d=0.0858632 t=11833
lu mian 	路面	c=5 d=0.142987 t=11833
lu xian 	路線	c=2 d=0.000228266 t=11833
luan 	亂	c=1 d=0.0645703 t=11833
luan sheng 	孿生	c=1 d=1 t=11833
lun 	輪	c=1 d=1.66184e-05 t=11833
lun huan 	輪換	c=1 d=1 t=10367
lun tan 	論壇	c=2 d=0.0893673 t=11833
lun wen 	論文	c=4 d=1.2775 t=11833
luo 	咯	c=1 d=1 t=10934
luo 	羅	c=1 d=1.86564e-13 t=11833
luo di 	落地	c=2 d=0.00538036 t=11833
luo si 	螺絲	c=0 d=0.00765355 t=11833
luo si fen 	螺絲粉	c=2 d=0.157782 t=11833
luo suo 	囉嗦	c=1 d=0.148823 t=11833
lv 	綠	c=1 d=1.26642e-14 t=11833
lv dian 	旅店	c=1 d=0.205975 t=11833
lv guan 	旅館	c=1 d=0.215456 t=11833
lv you 	旅遊	c=1 d=0.120633 t=11833
ma 	嗎	c=118 d=4.0576 t=11833
ma 	嘛	c=12 d=0.445981 t=11833
ma 	媽	c=2 d=0.819025 t=11833
ma 	碼	c=4 d=0.403032 t=11833
ma 	罵	c=2 d=0.985112 t=11833
ma 	馬	c=1 d=4.87084e-09 t=11833
ma ba 	嗎吧	c=1 d=0.0328764 t=11833
ma dou 	麻豆	c=1 d=0.00346515 t=11833
ma fan 	麻煩	c=9 d=0.360743 t=11833
ma ma 	媽媽	c=0 d=0.00338776 t=11833
ma ren 	罵人	c=1 d=0.118245 t=11833
mai 	買	c=7 d=0.883909 t=11833
mai bu dao 	買不到	c=1 d=1 t=10428
mai fang 	買房	c=8 d=0.0106581 t=11833
mai ge 	買個	c=2 d=1.92312 t=10454
mai jia 	賣家	c=1 d=0.0804596 t=11833
mai le 	買了	c=1 d=1 t=10247
mai ru 	買入	c=1 d=0.00384878 t=11833
mai zhi 	埋置	c=1 d=0.379083 t=11833
man 	慢	c=3 d=0.0926172 t=11833
man 	滿	c=3 d=0.128356 t=11833
man 	饅	c=1 d=0.064894 t=11833
man man 	慢慢	c=1 d=5.91857e-08 t=11833
man tou 	饅頭	c=1 d=4.20179e-06 t=11833
man wei 	慢未	c=1 d=4.05024e-15 t=11833
man wei 	漫威	c=1 d=4.07054e-15 t=11833
man zu 	滿足	c=3 d=4.40312e-06 t=11833
mang 	忙	c=2 d=0.0122161 t=11833
mang zhe 	忙着	c=1 d=4.37774e-18 t=11833
mao 	毛	c=1 d=0.024234 t=11833
mao 	茆	c=1 d=8.68443e-18 t=11833
mao gu 	錨固	c=1 d=1 t=9641
mei 	妹	c=2 d=0.740818 t=11833
mei 	梅	c=1 d=1.42076e-14 t=11833
mei 	每	c=1 d=9.54016e-06 t=11833
mei 	沒	c=7 d=0.0423701 t=11833
mei ci 	每次	c=3 d=0.449333 t=11833
mei gan ma 	沒幹嘛	c=1 d=0.0193512 t=11833
mei ge 	每個	c=2 d=1.68924e-13 t=11833
mei ge yue 	每個月	c=4 d=0.0043174 t=11833
mei guan xi 	沒關係	c=1 d=1 t=11669
mei guo 	美國	c=1 d=0.946485 t=11833
mei ji hui 	沒機會	c=1 d=0.806541 t=11833
mei ju 	美劇	c=2 d=0.56836 t=11833
mei jun 	美軍	c=1 d=1.07397e-16 t=11833
mei lai de 	沒來的	c=1 d=4.4501e-05 t=11833
mei le 	沒了	c=1 d=1 t=10334
mei mi 	每米	c=1 d=2.81166e-15 t=11833
mei ne 	沒呢	c=2 d=0.239309 t=11833
mei nian 	每年	c=1 d=1 t=10369
mei po 	媒婆	c=1 d=1.12573e-11 t=11833
mei qu guo 	沒去過	c=1 d=0.0288686 t=11833
mei ren 	每人	c=2 d=0.609571 t=11833
mei ren 	沒人	c=2 d=0.618783 t=11833
mei shang ban 	沒上班	c=1 d=0.0773047 t=11833
mei shen me 	沒什麼	c=1 d=8.43952e-05 t=11833
mei shi 	沒事	c=7 d=0.858111 t=11833
mei shuo sha 	沒說啥	c=1 d=0.00719046 t=11833
mei tian 	每天	c=1 d=6.91087e-07 t=11833
mei yo 	沒喲	c=1 d=8.06816e-05 t=11833
mei yong 	沒用	c=1 d=0.348192 t=11833
mei you 	沒有	c=55 d=2.72512 t=11833
mei you a 	沒有啊	c=1 d=1.79621e-08 t=11833
mei you qu guo 	沒有去過	c=1 d=0.0301974 t=11833
mei yu 	梅雨	c=1 d=1 t=11040
mei yuan 	美元	c=1 d=0.0513033 t=11833
mei yue 	每月	c=1 d=1 t=9910
mei zhong 	沒中	c=1 d=4.31857e-05 t=11833
mei zi 	妹子	c=3 d=5.48972e-18 t=11833
men 	們	c=3 d=0.904837 t=11833
men 	門	c=2 d=0.0150707 t=11833
men jia 	門加	c=1 d=9.15021e-15 t=11833
men kou 	門口	c=1 d=1.39984e-16 t=11833
meng 	夢	c=1 d=5.09763e-15 t=11833
meng 	蒙	c=8 d=0.000361712 t=11833
meng mei 	夢寐	c=1 d=1 t=9325
mi 	密	c=1 d=1 t=9634
mi 	米	c=2 d=1.09757e-07 t=11833
mi 	迷	c=1 d=0.965605 t=11833
mi ma 	密碼	c=2 d=7.90975e-07 t=11833
mi shang 	迷上	c=1 d=0.995012 t=11833
mi yao 	密鑰	c=1 d=0.318224 t=11833
mian 	面	c=3 d=0.0359012 t=11833
mian 	麪	c=4 d=8.09374e-10 t=11833
mian dui 	面對	c=1 d=1 t=10525
mian e 	面額	c=0 d=4.09944e-11 t=11833
mian fei 	免費	c=2 d=1.16226e-15 t=11833
mian zi 	面子	c=1 d=9.59778e-18 t=11833
miao 	秒	c=3 d=0.261945 t=11833
miao shu 	描述	c=1 d=0.0911727 t=11833
mie 	滅	c=2 d=0.238115 t=11833
mie you 	滅有	c=1 d=0.0642483 t=11833
min 	民	c=1 d=0.748264 t=11833
ming 	名	c=3 d=8.31712e-05 t=11833
ming 	命	c=1 d=0.190139 t=11833
ming 	明	c=2 d=4.63168e-11 t=11833
ming dan 	名單	c=1 d=1.35778e-10 t=11833
ming ling 	命令	c=7 d=1.59668e-05 t=11833
ming ling hang 	命令行	c=1 d=3.12837e-06 t=11833
ming pai 	名牌	c=0 d=0.1 t=11774
ming tian 	明天	c=13 d=0.70822 t=11833
ming xian 	明顯	c=1 d=0.860708 t=11833
ming xing 	明星	c=1 d=0.136014 t=11833
ming zi 	名字	c=7 d=0.415732 t=11833
mo 	摩	c=0 d=0.0327915 t=11833
mo 	末	c=1 d=1 t=9582
mo 	莫	c=0 d=7.54474e-11 t=11833
mo 	饃	c=1 d=4.37327e-06 t=11833
mo ban 	模板	c=1 d=0.225373 t=11833
mo ca 	摩擦	c=2 d=5.97373e-15 t=11833
mo cha 	抹茶	c=2 d=5.92958e-15 t=11833
mo dao 	魔道	c=2 d=0.607077 t=11833
mo diao 	抹掉	c=1 d=0.100259 t=11833
mo kuai 	模塊	c=2 d=0.192223 t=11833
mo ming 	莫名	c=1 d=0.034562 t=11833
mo ni 	模擬	c=5 d=0.540641 t=11833
mo ren 	默認	c=5 d=1.04623 t=11833
mo shi 	模式	c=4 d=1.06915 t=11833
mo shou 	魔獸	c=2 d=2.20692e-11 t=11833
mo tuo 	摩托	c=1 d=7.52783e-13 t=11833
mo xing 	模型	c=4 d=0.373654 t=11833
mo zu li 	摩阻力	c=1 d=0.329559 t=11833
mou 	某	c=2 d=0.506133 t=11833
mou xie 	某些	c=1 d=0.0147723 t=11833
mu 	母	c=1 d=1.26302e-11 t=11833
mu 	目	c=1 d=0.546074 t=11833
mu ban 	模板	c=5 d=0.450836 t=11833
mu biao 	目標	c=4 d=0.285161 t=11833
mu bu 	幕布	c=1 d=1.6998e-06 t=11833
mu dan qu 	牡丹區	c=1 d=3.16906e-11 t=11833
mu dan ting 	牡丹亭	c=1 d=2.96246e-12 t=11833
mu lu 	目錄	c=7 d=0.680689 t=11833
mu qin 	母親	c=1 d=0.0536647 t=11833
mu qing 	穆清	c=1 d=0.053397 t=11833
na 	哪	c=7 d=0.621891 t=11833
na 	拿	c=2 d=1.43387 t=11414
na 	那	c=44 d=1.73177 t=11833
